model,seed,epoch,train_loss,train_acc,val_loss,val_acc
ViT,0,1,0.6936321419382853,0.5,0.6936861388385296,0.5
ViT,0,2,0.6931997660606627,0.5,0.6932338178157806,0.5
ViT,0,3,0.6931264400482178,0.5,0.6931537874042988,0.5
ViT,0,4,0.6930877131129068,0.5,0.693103663623333,0.5
ViT,0,5,0.6930477363722665,0.5085,0.693057481199503,0.508
ViT,0,6,0.6930655468077886,0.5,0.6930818296968937,0.5
ViT,0,7,0.6930147362133813,0.518,0.6930208429694176,0.52
ViT,0,8,0.6930219341838171,0.5,0.6930226609110832,0.5
ViT,0,9,0.6930272389972021,0.5,0.6930216699838638,0.5
ViT,0,10,0.6929575961733622,0.552,0.6929679811000824,0.558
ViT,0,11,0.6929539139308627,0.5765,0.6929619945585728,0.548
ViT,0,12,0.6929399163003952,0.5025,0.6929430104792118,0.508
ViT,0,13,0.6929460007046896,0.5,0.692945085465908,0.5
ViT,0,14,0.692923196724483,0.5,0.6929228231310844,0.5
ViT,0,15,0.6929019112435598,0.5,0.6929026544094086,0.5
ViT,0,16,0.6928595427482848,0.573,0.6928735040128231,0.576
ViT,0,17,0.6928338323320661,0.5,0.6928437426686287,0.5
ViT,0,18,0.6927874069365244,0.5835,0.6928134895861149,0.572
ViT,0,19,0.6927412057679797,0.571,0.6927790381014347,0.556
ViT,0,20,0.6926821158045814,0.5325,0.6927345618605614,0.52
ViT,0,21,0.6926038776125226,0.5305,0.692680835723877,0.516
ViT,0,22,0.6924366222487556,0.5275,0.6925817728042603,0.518
ViT,0,23,0.6923070266133263,0.5305,0.6924924179911613,0.518
ViT,0,24,0.6920651490726168,0.537,0.6923418790102005,0.522
ViT,0,25,0.692069495481158,0.547,0.6923173107206821,0.542
ViT,0,26,0.691855840266697,0.5345,0.6921970546245575,0.52
ViT,0,27,0.6917491214615958,0.5365,0.6921169646084309,0.524
ViT,0,28,0.6916617438906715,0.5355,0.6920414455235004,0.518
ViT,0,29,0.6913554072380066,0.535,0.6918656080961227,0.518
